"id","alumno_id","curso_id","periodo","vez_cursado","nota_pc1","nota_parcial","nota_pc2","promedio_proyectado","asistencia_porcentaje","estado"
"1","1","27","2025-II","2","8.64","11.45","3","10.05","78","MATRICULADO"
"2","1","16","2025-II","1","11.04","12.54","4","11.79","75","MATRICULADO"
"3","1","5","2025-II","1","13.23","12.8","5.4","13.02","74","MATRICULADO"
"4","1","21","2025-II","1","9.12","12.66",,"10.89","77","MATRICULADO"
"5","2","24","2025-II","1","9.54","8.69",,"9.12","75","MATRICULADO"
"6","2","20","2025-II","1","12.46","11.69",,"12.08","78","MATRICULADO"
"7","2","5","2025-II","1","8.9","10.93","5","9.92","71","MATRICULADO"
"8","2","14","2025-II","1","8.85","11.58",,"10.22","78","MATRICULADO"
"9","2","15","2025-II","1","8.66","10.66",,"9.66","70","MATRICULADO"
"10","3","26","2025-II","1","7.81","9.99",,"8.9","56","MATRICULADO"
"11","3","23","2025-II","1","10.49","8.38","6","9.44","63","MATRICULADO"
"12","3","20","2025-II","1","6.97","8.75",,"7.86","58","MATRICULADO"
"13","3","11","2025-II","2","7.42","6.78",,"7.1","56","MATRICULADO"
"14","4","1","2025-II","2","7.9","5.72",,"6.81","62","MATRICULADO"
"15","4","22","2025-II","1","9.68","7.24","5.6","8.46","57","MATRICULADO"
"16","4","3","2025-II","1","8.91","10.04",,"9.48","59","MATRICULADO"
"17","4","10","2025-II","1","6.82","7.38",,"7.1","55","MATRICULADO"
"18","5","23","2025-II","1","11.47","10.82","4.5","11.15","81","MATRICULADO"
"19","5","26","2025-II","1","14.09","10.51",,"12.3","82","MATRICULADO"
"20","5","19","2025-II","1","9.66","11.13",,"10.4","85","MATRICULADO"
"21","6","8","2025-II","1","16.76","15.56",,"16.16","91","MATRICULADO"
"22","6","3","2025-II","1","16.53","17.3",,"16.92","99","MATRICULADO"
"23","6","18","2025-II","1","14.69","14.88",,"14.79","96","MATRICULADO"
"24","6","15","2025-II","1","16.1","13.94",,"15.02","98","MATRICULADO"
"25","7","15","2025-II","1","9.03","12.23",,"10.63","74","MATRICULADO"
"26","7","23","2025-II","1","12.9","12.47",,"12.69","73","MATRICULADO"
"27","7","8","2025-II","1","9.18","10.99",,"10.09","70","MATRICULADO"
